run_ts_utc,date,imei,iccid,txid,vin,empresa,patente,days_disconnected,command,status,http_code,note,delivery_status,delivery_note,delivery_checked_at_utc
2026-02-04_151135,2026-02-04,863457051061610,,,LSH14C4C2MA069528,INVERSIONES MORA OVALLE SPA,RLJC29,29.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,863457050644754,,,W1T963424P0639380,FORESTAL ARAUCO - CAMINOS,639380,18.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,868589060683714,,,W1T964216T0836870,STOCK,0836870,27.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,867698041077028,,,LVCB4L4D4MM001001,GERENCIA ELECTROMOVILIDAD,FT1001,26.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,867162027843960,,,W1T964231N0545566,TREKRENTAL,RWWR-54,21.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,867162025950742,,,WDB964414K0296645,COMPAÑÍA MINERA SANTA LAURA,KXZS12,16.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,863457051762019,,,W1T964231R0683200,GRUPO MPM,TBYZ99,23.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,868589060250761,,,9BM634016RB353205,VIGGO (CM),TLWL94,24.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,865413056249864,,,3ALHG3DV6MDMU3258,PESCO RENTAL,PRFR89,19.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,869671070588080,,,9BM958441PB301741,STOCK,B301741,22.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,869671070585748,,,JL6BHG6A7SK000344,STOCK,K000344,29.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,869671070583883,,,JL6AFE6A8TK000120,100% EQUIPADOS,K000120,29.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,867162027187467,,,WDB932315K0289088,SACYR (CM),LHSX11,23.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,869671070574874,,,9BM958154RB350551,100% EQUIPADOS,B350551,19.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,869671070576127,,,9BM979078JB061368,PESCO RENTAL,JWZZ11,25.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,863457051709390,,,W1T964231RB316602,BESALCO MINERIA,316602,28.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,868589060311373,,,9BM634016RB345551,VIGGO (CM),TJVR27,30.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,867162027624204,,,WDB964330K0296942,SACYR (CM),LRFJ61,21.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,863457052211982,,,W1T964231R0719936,GRUPO MPM,TGGG35,27.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,869671070591373,,,W1T963424S0798309,TRANSPORTES SIMUNOVIC LTDA,0798309,25.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,867162029853801,,,W1T964216N0526062,TREKRENTAL,RHPJ-35,20.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,869671070591910,,,9BM958264SB368304,100% EQUIPADOS,B368304,25.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,869671070584360,,,W1T964216S0792911,STOCK,0792911,22.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,863457051757100,,,W1T964231R0675406,GRUPO MPM,TCSL66,23.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,868589060363473,,,9BM634074RB339769,STOCK CHILE - BUSES & VANS,339769,27.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,863457051064366,,,W1T964231P0650289,KOMATSU (CM),SVZJ79,18.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,867162027607860,,,WDB964016L0391401,CSI,PDCB39,30.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,863457050637675,,,LSH14C4C0NA067102,ROCKTRUCK SPA,067102,22.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,868589060682435,,,W1T964231N0514472,EMIN,RFGB-61,15.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,867162029775020,,,W1T964216N0530018,RAICO,RPZS69,20.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,863457050615895,,,W1T964231P0598030,TREKRENTAL,SDRR-29,22.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,863238070319720,,,W1T963425M0432584,GRUPO COTAL (CM),PDCB84,17.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,867162027833722,,,9BM979078NB245417,PILLADO Y CÍA. LTDA.,RSCY85,22.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,863457051076956,,,W1T964231R0677516,GRUPO MPM,TBSV86,30.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,868589060356816,,,LSFAM11A1SA052006,SI AUSTRAL LTDA.,VCPX89,21.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,869671070587322,,,9BM634016SB366187,SOCIEDAD DE TRANSPORTE TURISMO E INVERSI,366187,23.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,863457051197919,,,1M2GR3HCXLM002299,KOMATSU (CM),X°LJSC64,28.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,869671070576457,,,W1T964233S0780849,100% EQUIPADOS,0780849,16.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,863457050602984,,,W1T964231P0592884,TREKRENTAL,SHVR87,29.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,867162029776820,,,W1T964026N0498527,MARCO SALGADO (CM),PXST41,19.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,868589060666768,,,JL6JBB6A7PK008202,STOCK,SSYP37,22.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,868589060172445,,,JL6AFE6A3RK003645,OPERACIONES [BK],TKLP50,28.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,869671072166539,,,W1T964231T0827992,100% EQUIPADOS,0827992,21.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,863457052205463,,,9BM634016RB331072,VIGGO (CM),6276,29.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,863457051704128,,,W1T964231R0709207,TREKRENTAL,TKLJ58,26.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,867162029775178,,,JL6CKE6A4KK001705,DE BAJA,PPYY-11,21.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,869671070590144,,,3ALHCYCY6SDWG0144,100% EQUIPADOS,DWG0144,26.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,863457051200713,,,JL6BHG6A7PK000805,SCHWAGER SERVICE S.A.,SHBZ97,22.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,869671070593171,,,JL6CJH6A4SK000378,100% EQUIPADOS,K000378,20.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,868589060188268,,,W1V907657SP655024,STOCK,655024,27.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,869671070590953,,,9BM958154SB375040,100% EQUIPADOS,B375040,24.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,863457052203724,,,W1T964231R0718095,EXPLONORTE CHILE SPA.,718095,19.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,867162025928250,,,WDB964414J0164898,COMPAÑÍA MINERA SANTA LAURA,KHSP72,16.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,867162025945650,,,WDB964414J0191232,COMPAÑÍA MINERA SANTA LAURA,KHSP73,16.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,868589060182618,,,9BM958260SB365290,STOCK,365290,19.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,867162027192988,,,3AKJHPDV9KSKR8011,TERRA NORTE SPA (CM),LTJG13,27.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,869671070595481,,,JL6BGG6A3SK005768,100% EQUIPADOS,K005768,15.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,863457050622388,,,W1T964231P0639768,GRUPO MPM,SSYV32,28.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
